UID,composite_ID,test,congruence,theta,se,TSVR_hours,TSVR_sq,TSVR_log
A029,A029_2,2,incongruent,0.6493841,0.2502669460427529,28.43,808.2649,3.382014562245381
A029,A029_3,3,common,0.35291594,0.2040954520165139,93.26,8697.4276,4.546056921495585
A029,A029_3,3,congruent,1.2196074,0.2036301722131973,93.26,8697.4276,4.546056921495585
A029,A029_3,3,incongruent,1.1358299,0.2502669460427529,93.26,8697.4276,4.546056921495585
A029,A029_4,4,common,0.7469417,0.2040954520165139,143.14,20489.059599999997,4.970785049496295
A029,A029_4,4,congruent,0.7223623,0.2036301722131973,143.14,20489.059599999997,4.970785049496295
A029,A029_4,4,incongruent,-0.27889782,0.2502669460427529,143.14,20489.059599999997,4.970785049496295
A030,A030_1,1,common,0.07879622,0.2040954520165139,1.0,1.0,0.6931471805599453
A030,A030_1,1,congruent,-0.45244423,0.2036301722131973,1.0,1.0,0.6931471805599453
A030,A030_1,1,incongruent,0.6100887,0.2502669460427529,1.0,1.0,0.6931471805599453
A030,A030_2,2,common,0.2289257,0.2040954520165139,32.95,1085.7025,3.5248888540047054
A030,A030_2,2,congruent,0.9587927,0.2036301722131973,32.95,1085.7025,3.5248888540047054
A030,A030_2,2,incongruent,0.6447358,0.2502669460427529,32.95,1085.7025,3.5248888540047054
A030,A030_3,3,common,0.53011525,0.2040954520165139,71.93,5173.924900000001,4.289500076996142
A030,A030_3,3,congruent,0.40888423,0.2036301722131973,71.93,5173.924900000001,4.289500076996142
A030,A030_3,3,incongruent,0.1497277,0.2502669460427529,71.93,5173.924900000001,4.289500076996142
A030,A030_4,4,common,0.3295019,0.2040954520165139,150.46,22638.211600000002,5.020321563685677
A030,A030_4,4,congruent,0.6107539,0.2036301722131973,150.46,22638.211600000002,5.020321563685677
A030,A030_4,4,incongruent,0.6535932,0.2502669460427529,150.46,22638.211600000002,5.020321563685677
A031,A031_1,1,common,1.0476081,0.2040954520165139,1.0,1.0,0.6931471805599453
A031,A031_1,1,congruent,0.5389861,0.2036301722131973,1.0,1.0,0.6931471805599453
A031,A031_1,1,incongruent,2.1952276,0.2502669460427529,1.0,1.0,0.6931471805599453
A031,A031_2,2,common,0.46964058,0.2040954520165139,32.41,1050.4080999999999,3.508855256368665
A031,A031_2,2,congruent,-0.12187095,0.2036301722131973,32.41,1050.4080999999999,3.508855256368665
A031,A031_2,2,incongruent,-0.5567076,0.2502669460427529,32.41,1050.4080999999999,3.508855256368665
A031,A031_3,3,common,0.5167464,0.2040954520165139,71.56,5120.8336,4.2844138058068815
A031,A031_3,3,congruent,-0.65075713,0.2036301722131973,71.56,5120.8336,4.2844138058068815
A031,A031_3,3,incongruent,-0.7007083,0.2502669460427529,71.56,5120.8336,4.2844138058068815
A031,A031_4,4,common,-0.9721931,0.2040954520165139,143.85,20692.8225,4.975698724215359
A031,A031_4,4,congruent,-0.7019325,0.2036301722131973,143.85,20692.8225,4.975698724215359
