domain_name,age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
When,Older,149.33,,,,,
When,Older,149.72,-0.5340449,,,,-0.4889365839833266
When,Older,149.75,,,,,
When,Older,149.87,-0.3660474,,,,-0.34095256528323986
When,Older,149.93,1.2568436,,,,0.9524826551083502
When,Older,149.99,0.55721027,,,,-0.2668946467116378
When,Older,150.22,-0.31006965,,,,-0.5378200078436184
When,Older,150.41,1.4994364,,,,0.21587180950981538
When,Older,150.46,,,,,
When,Older,150.8,,,,,
When,Older,150.87,,,,,
When,Older,151.52,,,,,
When,Older,151.93,,,,,
When,Older,152.12,-0.28900594,,,,-0.32941316980383195
When,Older,152.47,,,,,
When,Older,152.89,,,,,
When,Older,153.27,,,,,
When,Older,154.53,-0.46736154,,,,0.32077787570606486
When,Older,154.76,,,,,
When,Older,154.89,,,,,
When,Older,155.27,,,,,
When,Older,155.59,,,,,
When,Older,156.21,,,,,
When,Older,162.51,-0.23278973,,,,0.03974101142862098
When,Older,164.93,,,,,
When,Older,166.33,,,,,
When,Older,166.87,,,,,
When,Older,168.33,,,,,
When,Older,168.86,,,,,
When,Older,169.55,1.2211847,,,,-0.11635385129786158
When,Older,170.25,-0.39582023,,,,0.31652345068677823
When,Older,170.65,-0.061538562,,,,0.15146724339594722
When,Older,187.43,,,,,
When,Older,194.42,,,,,
When,Older,244.53,-0.57930595,,,,-0.0372396395865074
When,Older,246.24,,,,,
Where,Young,1.0,0.9432623731212122,0.14571435803536803,0.6576622313718908,1.2288625148705337,0.9108642601405033
Where,Young,16.9,,,,,
Where,Young,17.16,,,,,
Where,Young,20.61,0.9758614,,,,0.4153351048239521
Where,Young,21.63,-0.28614074,,,,0.2127315038659905
Where,Young,21.9,0.59148264,,,,0.7302677020323614
Where,Young,21.98,,,,,
Where,Young,22.09,,,,,
Where,Young,22.2,,,,,
Where,Young,22.6,,,,,
Where,Young,22.64,,,,,
Where,Young,22.77,,,,,
Where,Young,22.82,-0.25359893,,,,0.3525228624625283
Where,Young,22.83,,,,,
Where,Young,22.96,,,,,
Where,Young,22.98,,,,,
Where,Young,23.24,,,,,
Where,Young,23.33,1.87031,,,,0.5871898539340581
Where,Young,23.35,,,,,
Where,Young,23.46,-0.5633802,,,,-0.43634066957634726
Where,Young,23.47,,,,,
Where,Young,23.54,,,,,
Where,Young,23.69,1.980908,,,,1.2197576778686263
Where,Young,23.7,1.2943444,,,,0.6867573230834348
Where,Young,23.91,,,,,
Where,Young,24.15,0.49875164,,,,0.10539564496791287
Where,Young,24.25,,,,,
Where,Young,24.32,,,,,
Where,Young,24.37,,,,,
Where,Young,24.49,,,,,
Where,Young,24.51,,,,,
Where,Young,24.57,0.20441371,,,,0.33524385444539573
Where,Young,24.65,,,,,
Where,Young,24.66,,,,,
Where,Young,24.73,,,,,
Where,Young,24.77,-0.6685766,,,,-0.02949912587301995
Where,Young,24.78,,,,,
Where,Young,24.87,,,,,
Where,Young,24.96,,,,,
Where,Young,25.15,,,,,
Where,Young,25.6,-0.31520778,,,,0.39911905392233316
Where,Young,25.62,,,,,
Where,Young,25.63,-0.37005034,,,,0.13259018939006412
Where,Young,25.66,1.7318953,,,,0.6064594137071012
Where,Young,25.77,,,,,
Where,Young,26.08,0.952347,,,,0.6938095579453297
Where,Young,26.11,,,,,
Where,Young,26.17,,,,,
Where,Young,26.22,,,,,
Where,Young,26.26,,,,,
Where,Young,26.48,0.11092596,,,,0.3358799170292489
Where,Young,26.85,-0.15119976,,,,-0.2773388034249525
