TSVR_hours,domain,theta,predicted_theta,UID
168.33,what,0.92701405,-0.4858699574247729,A033
168.86,what,-0.6787857,-0.48732298366404003,A049
169.55,what,-1.507539,-0.4892086876208581,A086
170.25,what,0.56079304,-0.49111486373884405,A082
170.65,what,-0.95876193,-0.49220102552319367,A085
187.43,what,-3.0337515,-0.5358626652992309,A065
194.42,what,-0.7027999,-0.5530366411235641,A079
244.53,what,-0.5143715,-0.6620933616629936,A075
246.24,what,0.77186465,-0.6654450720144387,A039
1.0,when,-0.17765257,0.19043529937138903,A010
1.0,when,-0.87433934,0.19043529937138903,A011
1.0,when,0.54212606,0.19043529937138903,A012
1.0,when,0.6873682,0.19043529937138903,A013
1.0,when,0.1954307,0.19043529937138903,A014
1.0,when,1.7388352,0.19043529937138903,A015
1.0,when,-1.4402869,0.19043529937138903,A016
1.0,when,-0.85193014,0.19043529937138903,A017
1.0,when,0.23999432,0.19043529937138903,A018
1.0,when,0.58958745,0.19043529937138903,A019
1.0,when,-1.6694509,0.19043529937138903,A020
1.0,when,1.6070633,0.19043529937138903,A021
1.0,when,-1.473691,0.19043529937138903,A022
1.0,when,0.17674807,0.19043529937138903,A023
1.0,when,0.75746256,0.19043529937138903,A024
1.0,when,1.1107309,0.19043529937138903,A025
1.0,when,0.35740104,0.19043529937138903,A026
1.0,when,0.67755985,0.19043529937138903,A027
1.0,when,-0.22608823,0.19043529937138903,A028
1.0,when,-1.37223,0.19043529937138903,A029
1.0,when,-1.1402566,0.19043529937138903,A030
1.0,when,0.12300497,0.19043529937138903,A031
1.0,when,1.1288489,0.19043529937138903,A032
1.0,when,0.30071205,0.19043529937138903,A033
1.0,when,0.90604496,0.19043529937138903,A034
1.0,when,-0.23702022,0.19043529937138903,A035
1.0,when,0.086957574,0.19043529937138903,A036
1.0,when,0.949005,0.19043529937138903,A037
1.0,when,2.342451,0.19043529937138903,A038
1.0,when,1.9555998,0.19043529937138903,A039
1.0,when,-0.44111657,0.19043529937138903,A040
1.0,when,1.014755,0.19043529937138903,A041
1.0,when,0.23568591,0.19043529937138903,A042
1.0,when,-0.78949654,0.19043529937138903,A043
1.0,when,0.27017105,0.19043529937138903,A044
1.0,when,-0.32118118,0.19043529937138903,A045
1.0,when,1.5548716,0.19043529937138903,A046
1.0,when,-1.0458052,0.19043529937138903,A047
1.0,when,1.0398808,0.19043529937138903,A048
1.0,when,1.3697528,0.19043529937138903,A049
1.0,when,-1.8107281,0.19043529937138903,A050
1.0,when,-1.6883023,0.19043529937138903,A051
1.0,when,0.90450335,0.19043529937138903,A052
1.0,when,0.11079353,0.19043529937138903,A053
1.0,when,0.64749724,0.19043529937138903,A054
1.0,when,-0.79134464,0.19043529937138903,A055
1.0,when,-1.3459609,0.19043529937138903,A056
1.0,when,-0.08667353,0.19043529937138903,A057
1.0,when,1.1102797,0.19043529937138903,A058
1.0,when,0.6187948,0.19043529937138903,A059
1.0,when,-1.3155241,0.19043529937138903,A060
1.0,when,3.8447251,0.19043529937138903,A061
1.0,when,1.2950801,0.19043529937138903,A062
1.0,when,-0.42020166,0.19043529937138903,A063
1.0,when,1.2421527,0.19043529937138903,A064
1.0,when,-1.2321833,0.19043529937138903,A065
1.0,when,1.1050596,0.19043529937138903,A066
1.0,when,0.91595894,0.19043529937138903,A067
1.0,when,1.10346,0.19043529937138903,A068
1.0,when,-0.27310088,0.19043529937138903,A069
1.0,when,-0.11830109,0.19043529937138903,A070
1.0,when,0.4117638,0.19043529937138903,A071
1.0,when,-1.1278734,0.19043529937138903,A072
1.0,when,-1.0564022,0.19043529937138903,A073
1.0,when,1.9430063,0.19043529937138903,A074
1.0,when,-0.64051765,0.19043529937138903,A075
1.0,when,-1.294316,0.19043529937138903,A076
1.0,when,1.5771065,0.19043529937138903,A077
1.0,when,-0.9239575,0.19043529937138903,A078
1.0,when,-0.117149234,0.19043529937138903,A079
1.0,when,0.46743014,0.19043529937138903,A080
1.0,when,0.36609143,0.19043529937138903,A081
1.0,when,0.8158797,0.19043529937138903,A082
1.0,when,0.8681568,0.19043529937138903,A083
1.0,when,1.8661048,0.19043529937138903,A084
1.0,when,0.06705779,0.19043529937138903,A085
1.0,when,1.0047618,0.19043529937138903,A086
1.0,when,1.1308548,0.19043529937138903,A087
1.0,when,-0.2428985,0.19043529937138903,A088
1.0,when,0.7364516,0.19043529937138903,A089
