UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence,Z_accuracy,Z_confidence,calibration
A047,T4,Source,-1.6715268,144.22,-1.6812772,-1.9159392390380432,-1.7059846753449268,0.20995456369311638
A048,T1,Source,1.1008136,1.0,-0.008808553,1.305322963687801,0.757037634104321,-0.54828532958348
A048,T2,Source,0.42243886,23.91,-0.018692851,0.5170998042063853,0.7424811600377287,0.22538135583134333
A048,T3,Source,-0.026019838,81.15,-0.49071383,-0.003977280465844705,0.04734214867838734,0.05131942914423204
A048,T4,Source,-0.17341782,146.3,-0.41868603,-0.17524324339545622,0.15341653077145184,0.32865977416690806
A049,T1,Source,1.1971763,1.0,0.5404597,1.41728956175152,1.565937677425261,0.14864811567374092
A049,T2,Source,-1.2098973,27.12,-0.4187739,-1.379558619972206,0.15328712579233938,1.5328457457645455
A049,T3,Source,0.85623467,111.38,0.034439206,1.0211396567633952,0.8207280329896788,-0.20041162377371646
A049,T4,Source,-0.14212708,168.86,-0.38463807,-0.1388856308680329,0.2035585081542037,0.3424441390222366
A050,T1,Source,0.004513393,1.0,-0.0103881955,0.031500160524950305,0.7547113156256858,0.7232111551007355
A050,T2,Source,-0.64157915,24.73,0.058078706,-0.7192133839694134,0.8555416099070495,1.574754993876463
A050,T3,Source,-0.91331995,93.39,-1.3177676,-1.0349568503844622,-1.1706489271352494,-0.1356920767507872
A050,T4,Source,-0.3250553,148.69,-1.1985415,-0.35143520122307226,-0.9950662370230159,-0.6436310357999436
A051,T1,Source,1.209352,1.0,0.16485643,1.4314368584549584,1.0127917424198265,-0.4186451160351319
A051,T2,Source,-0.22324474,17.16,0.16090524,-0.23313857763155665,1.006972877512356,1.2401114551439127
A051,T3,Source,-0.78436285,65.63,-0.5013564,-0.8851178796710761,0.031668977532910356,0.9167868572039864
A051,T4,Source,-0.21998222,146.99,-0.57058275,-0.22934776162583198,-0.07027974644322403,0.15906801518260794
A052,T1,Source,0.78120226,1.0,-0.14410955,0.9339573373366652,0.5577816571988683,-0.3761756801377969
A052,T2,Source,-0.19870977,31.76,-0.61099494,-0.20463068895164835,-0.12979424061460668,0.07483644833704167
A052,T3,Source,0.39233577,80.98,-0.54251736,0.4821221564390858,-0.028948220248464798,-0.5110703766875506
A052,T4,Source,-0.8431323,153.27,-0.51613855,-0.9534037972156844,0.009899502035158292,0.9633032992508427
A053,T1,Source,1.0110499,1.0,0.014833719,1.201023933890875,0.7918552933091858,-0.4091686405816892
A053,T2,Source,0.9028614,32.71,-1.8323704,1.0753165980169668,-1.9284976193535432,-3.0038142173705102
A053,T3,Source,-0.8095616,78.28,-2.127089,-0.9143970334614757,-2.3625257777359043,-1.4481287442744286
A053,T4,Source,-0.7212973,148.9,-1.9886991,-0.8118401997335343,-2.158720814507526,-1.3468806147739918
A054,T1,Source,-0.009010122,1.0,0.5543531,0.01578679873233061,1.5863983026306927,1.5706115038983621
A054,T2,Source,1.0112917,16.9,0.24080098,1.2013048882789503,1.12463427009089,-0.07667061818806031
A054,T3,Source,1.1221242,72.83,0.5224607,1.330084363946373,1.5394307897611499,0.2093464258147768
A054,T4,Source,1.0953832,136.83,0.43864214,1.299013225437158,1.4159923123964318,0.11697908695927373
A055,T1,Source,-0.104547046,1.0,-0.02007413,-0.0952203064001746,0.7404469688445625,0.8356672752447372
A055,T2,Source,0.97470355,23.24,-0.81075394,1.158792062414326,-0.42397666035432474,-1.5827687227686507
A055,T3,Source,-1.0984837,74.48,-1.3454837,-1.2501039474689248,-1.211466058597401,0.03863788887152375
A055,T4,Source,-1.8678097,149.21,-1.6561404,-2.144005996933797,-1.668966044652376,0.4750399522814208
A056,T1,Source,0.7685593,1.0,-0.09425974,0.9192671177739538,0.6311948086932451,-0.2880723090807087
A056,T2,Source,-0.08752507,33.61,-1.0433567,-0.07544198195469654,-0.7665276481693262,-0.6910856662146296
A056,T3,Source,0.2292436,71.46,-1.2179855,0.29262066420474914,-1.0237011569486216,-1.3163218211533707
A056,T4,Source,-1.4955524,147.84,-1.5301504,-1.7114695125328279,-1.4834222490636557,0.22804726346917215
A057,T1,Source,0.12942022,1.0,0.0127590895,0.17663300232082643,0.7888000140658307,0.6121670117450042
A057,T2,Source,-1.3945471,24.78,-0.72472906,-1.594108543740906,-0.29728896490020823,1.2968195788406978
A057,T3,Source,-0.56744486,73.83,-0.981297,-0.6330746160522714,-0.6751331542325275,-0.042058538180256066
