composite_ID,UID,test,TSVR_hours,log_TSVR,congruence,theta
A102_T2,A102,T2,29.13,3.40552135314221,Common,-0.5941183
A102_T3,A102,T3,75.27,4.3342796761761475,Common,-0.8207819
A102_T4,A102,T4,150.41,5.019991389020281,Common,-0.5272371
A103_T1,A103,T1,1.0,0.6931471805599453,Common,-1.668441
A103_T2,A103,T2,27.26,3.3414473772563813,Common,-2.1164997
A103_T3,A103,T3,80.24,4.397407736712184,Common,-2.1317394
A103_T4,A103,T4,149.72,5.015423810828053,Common,-2.18081
A104_T1,A104,T1,1.0,0.6931471805599453,Common,0.04366163
A104_T2,A104,T2,22.6,3.1612467120315646,Common,-0.30752704
A104_T3,A104,T3,72.62,4.298916727950875,Common,-0.82507277
A104_T4,A104,T4,145.78,4.9889348671169165,Common,-1.1661975
A105_T1,A105,T1,1.0,0.6931471805599453,Common,-0.055165254
A105_T2,A105,T2,22.77,3.1684242813721024,Common,-0.058977567
A105_T3,A105,T3,69.46,4.255045172913092,Common,-0.5520616
A105_T4,A105,T4,146.2,4.991792206294776,Common,-0.6148382
A106_T1,A106,T1,1.0,0.6931471805599453,Common,-0.19383547
A106_T2,A106,T2,22.64,3.1629401925378975,Common,-0.5906922
A106_T3,A106,T3,66.08,4.205885936955008,Common,-0.36468503
A106_T4,A106,T4,147.13,4.998090266593961,Common,-0.27456638
A107_T1,A107,T1,1.0,0.6931471805599453,Common,-2.109039
A107_T2,A107,T2,26.22,3.30395199722332,Common,-2.4524813
A107_T3,A107,T3,71.45,4.282896668766692,Common,-1.7832304
A107_T4,A107,T4,145.95,4.990092392864926,Common,-2.1526747
A108_T1,A108,T1,1.0,0.6931471805599453,Common,-0.79746133
A108_T2,A108,T2,27.61,3.3537563070620187,Common,-1.0200808
A108_T3,A108,T3,68.96,4.247923650150401,Common,-0.98302615
A108_T4,A108,T4,152.12,5.031221927704644,Common,-1.1786222
A109_T1,A109,T1,1.0,0.6931471805599453,Common,-1.2263042
A109_T2,A109,T2,24.65,3.2445435716167785,Common,-1.6961541
A109_T3,A109,T3,71.17,4.279024447084182,Common,-1.0792183
A109_T4,A109,T4,149.87,5.016418538851983,Common,-2.1472244
A010_T1,A010,T1,1.0,0.6931471805599453,Congruent,-0.01050625
