composite_ID,UID,test,TSVR_hours,ma_theta,ma_theta_se
A017_T2,A017,T2,20.61,-0.5374854906768581,0.05488071324171671
A017_T3,A017,T3,61.28,-0.7172119554893237,0.034960414472165156
A017_T4,A017,T4,140.49,-0.7388672095754519,0.12357008987470236
A018_T1,A018,T1,1.0,-0.35952440264819746,0.054074393216403005
A018_T2,A018,T2,34.03,-0.6127624534131099,0.02953451642273466
A018_T3,A018,T3,83.64,-0.7617506932224679,0.04276018051323446
A018_T4,A018,T4,150.87,-0.7238536335699222,0.16944655918986085
A019_T1,A019,T1,1.0,-0.35952440264819746,0.054074393216403005
A019_T2,A019,T2,28.69,-0.5851449737106648,0.0400220608713706
A019_T3,A019,T3,83.68,-0.7617982169521563,0.04273579128899142
A019_T4,A019,T4,154.76,-0.7182762105701088,0.18638820503692374
A020_T1,A020,T1,1.0,-0.35952440264819746,0.054074393216403005
A020_T2,A020,T2,26.85,-0.5749673956065523,0.04363664283187671
A020_T3,A020,T3,78.25,-0.7543148986835743,0.04470547513418527
A020_T4,A020,T4,145.78,-0.7312518976949405,0.14696793629799346
A021_T1,A021,T1,1.0,-0.35952440264819746,0.054074393216403005
A021_T2,A021,T2,30.21,-0.5932870498685904,0.03700339596319553
A021_T3,A021,T3,74.19,-0.7473439680040466,0.04445326294557274
A021_T4,A021,T4,140.39,-0.7390090348195848,0.12312987308261311
A022_T1,A022,T1,1.0,-0.35952440264819746,0.054074393216403005
A022_T2,A022,T2,24.15,-0.559347747916849,0.048754192694050034
A022_T3,A022,T3,74.46,-0.7478444545933877,0.0445144036764722
A022_T4,A022,T4,141.71,-0.7371289379212002,0.12894979578140478
A023_T1,A023,T1,1.0,-0.35952440264819746,0.054074393216403005
A023_T2,A023,T2,25.63,-0.5680145555424064,0.0459842077246612
