UID,test,composite_ID,TSVR_hours,z_theta_accuracy,z_theta_confidence,Calibration
A058,T2,A058_T2,22.96,-0.8992812312176188,0.6039403554640435,0.6960592002206716
A058,T3,A058_T3,66.28,-0.1355417834705494,-0.9408928084804218,-0.4064687813833348
A058,T4,A058_T4,143.48,-1.1367986190448935,-0.7990758760147783,0.1055719442734379
A059,T1,A059_T1,1.0,1.0497068929055964,0.3017556233448499,-0.3135995051954553
A059,T2,A059_T2,30.4,1.309593039032822,0.3725219026863415,-0.3931940372346861
A059,T3,A059_T3,79.78,1.4083539027504404,-0.8091567808841336,-1.0223631569744496
A059,T4,A059_T4,151.93,0.400576534486425,0.1291189477708763,-0.1127507629500471
A060,T1,A060_T1,1.0,-0.0609515982424192,0.3041429151121359,0.1776139684988142
A060,T2,A060_T2,24.87,1.381233913216948,0.7615064233743902,-0.2320365292646015
A060,T3,A060_T3,94.68,-0.5457457290168103,0.5394648340781447,0.5081252009088326
A060,T4,A060_T4,143.91,0.1976966355959687,0.6373013047003085,0.2285971872533335
A061,T1,A061_T1,1.0,2.672582789090471,2.5999813784889225,0.1092896048046836
A061,T2,A061_T2,35.16,0.9957008975303198,1.711172763092672,0.4086819872890467
A061,T3,A061_T3,82.55,0.2873271776962737,0.9535260613114478,0.3457605471575666
A061,T4,A061_T4,146.56,-0.3168386401961127,0.8899601474275283,0.5808219459685358
A062,T1,A062_T1,1.0,1.6204818142585216,1.0150285420038927,-0.2119584603657135
A062,T2,A062_T2,44.69,0.1430425028522808,0.478961038766077,0.1742435505662274
A062,T3,A062_T3,92.72,-0.6415789046310041,-1.3387269654148386,-0.3803531208517615
A062,T4,A062_T4,149.18,-0.7659604211484455,-0.1294805405340005,0.2737815397683396
A063,T1,A063_T1,1.0,0.906661670608897,-1.3627976540200035,-1.0753763898535422
A063,T2,A063_T2,21.98,0.7546882352992889,-3.0796936108682127,-1.8591531296080277
A063,T3,A063_T3,69.99,0.1786761491785032,-1.1834203436644275,-0.6652914125054576
A063,T4,A063_T4,141.09,-0.6235082831032701,-1.031907916770838,-0.236278127269927
A064,T1,A064_T1,1.0,0.8749286811526699,1.1207740456921662,0.1693883422411559
A064,T2,A064_T2,37.65,0.5886611174300894,0.3192024892395393,-0.1015368264436421
A064,T3,A064_T3,82.99,0.1802804332335124,0.2473932284550552,0.0430576894720893
A064,T4,A064_T4,156.21,-0.3595285346623346,-0.3356274766153526,-0.0076976986849904
A065,T1,A065_T1,1.0,-2.377899899667573,-0.3662147752676916,0.8676641922861096
A065,T2,A065_T2,32.31,-1.0448077950562562,-1.435792476367565,-0.2505476523750145
A065,T3,A065_T3,106.41,-2.358857156833217,0.7917183504841059,1.4330901257108697
A065,T4,A065_T4,187.43,-2.5229224367019976,-0.0210972120997524,1.102676337740265
A066,T1,A066_T1,1.0,0.4867959337693348,-0.1030132383269624,-0.2658272795832759
A066,T2,A066_T2,23.35,-0.4863142420866764,0.2505157654684481,0.3387114102239344
A066,T3,A066_T3,73.79,-0.9911288980345,-0.2144885013250782,0.3310007522956188
A066,T4,A066_T4,164.93,-1.3657405596559624,-1.6606635778619483,-0.2203874216203903
A067,T1,A067_T1,1.0,0.6954752553235585,0.3323367922548425,-0.1421551211924952
A067,T2,A067_T2,29.91,-1.396629627309237,-1.0740167022683167,0.0839609897096618
A067,T3,A067_T3,73.19,-1.569277240006302,-0.7466146727586593,0.3223823685639024
A067,T4,A067_T4,144.19,-1.252075100031227,0.0303578344296578,0.5674686267124561
A068,T1,A068_T1,1.0,1.3746231959582351,1.8488848731167096,0.3097436724392033
A068,T2,A068_T2,30.49,0.1663598230722928,1.2171973817055943,0.5297977071378063
A068,T3,A068_T3,82.98,0.4375786803235585,0.7547058327733104,0.1809407536587189
A068,T4,A068_T4,155.59,-0.4203872288912937,0.3450584363891746,0.356475704204292
A069,T1,A069_T1,1.0,-0.8400112595603694,-0.2478580322006281,0.2477899023236795
A069,T2,A069_T2,24.96,-1.6026934332252178,-0.5365407692881556,0.4412304872667056
A069,T3,A069_T3,79.75,-0.7618682807031463,-0.2689055781428225,0.2028822992404391
A069,T4,A069_T4,140.22,-1.819072309766148,-0.9335780597175584,0.3399417677696081
A070,T1,A070_T1,1.0,0.6256291953773039,0.3105696839545065,-0.1221254960407228
A070,T2,A070_T2,24.25,0.0381489242444777,0.3702266958408685,0.1666387280411128
A070,T3,A070_T3,81.92,-0.4671047297277567,-0.8302500338862381,-0.2053504907901003
A070,T4,A070_T4,149.2,-1.1156370144749588,-0.8487278530502596,0.071629657789577
A071,T1,A071_T1,1.0,1.1588739821588454,1.307408947854615,0.1365988336173181
A071,T2,A071_T2,30.92,0.4178066770172461,-0.8918130024135336,-0.6262879662777769
A071,T3,A071_T3,79.96,-0.9196108949496188,-1.7602829939182636,-0.4665906046172925
A071,T4,A071_T4,153.27,0.1483442016951993,-0.0778388260018189,-0.1040244855163808
A072,T1,A072_T1,1.0,1.012761717563483,1.270682423103703,0.1828643312149891
A072,T2,A072_T2,33.76,0.3899725647651228,1.3410071134934596,0.4924935816655621
A072,T3,A072_T3,83.54,-0.9454397898452224,-0.3851604209938004,0.2262638645766096
A072,T4,A072_T4,154.89,-0.1535120170114652,-0.0341665861083916,0.0507989294429743
A073,T1,A073_T1,1.0,0.920475024120418,-0.2647914801288358,-0.5373407364885575
A073,T2,A073_T2,66.66,-0.5222500396641933,-0.6224359004111151,-0.0780351875870407
A073,T3,A073_T3,66.9,-0.0265285569268522,-0.5099557297658628,-0.2410101248277787
A073,T4,A073_T4,140.12,1.027320973541694,-0.7209804141020301,-0.8105518575698818
A074,T1,A074_T1,1.0,1.200219116585956,1.223488889108931,0.0767694690486632
A074,T2,A074_T2,29.33,-0.179961803438144,0.3537626011275591,0.2547117510239506
A074,T3,A074_T3,73.02,-0.9097155500505334,-0.4634807172295888,0.1716895085348961
A074,T4,A074_T4,147.21,-1.2171817841225343,-0.60583877872334,0.2367985424894156
A075,T1,A075_T1,1.0,0.5042729307898278,0.2619895559788032,-0.0926567176990507
A075,T2,A075_T2,28.68,0.5200239696932436,0.4563019257332921,-0.0033123495022176
A075,T3,A075_T3,71.37,-1.6439688640715862,-0.0734553894222477,0.6889290463265489
A075,T4,A075_T4,244.53,-0.6400582754661351,-0.5496604997084469,0.0100073712035349
A076,T1,A076_T1,1.0,-0.4243079811553115,-0.5931206967788998,-0.1067204173681953
A076,T2,A076_T2,27.3,-0.8200148064867665,-0.6855281124327359,0.0220746378206924
A076,T3,A076_T3,74.88,-1.2826440396890548,-0.8273082201820956,0.1559291020639982
A076,T4,A076_T4,149.28,-2.6722253880024702,-0.8795865951985734,0.7431150927995631
A077,T1,A077_T1,1.0,1.3255399047437764,0.9882609286840942,-0.0950930066531237
A077,T2,A077_T2,53.88,-0.1730518162919608,0.2375250372106668,0.1940600887634336
A077,T3,A077_T3,78.36,0.2634617839412383,-0.709011594852232,-0.46760045975825
A077,T4,A077_T4,149.75,0.6183134338146555,0.6150853836047101,0.0320086978679277
A078,T1,A078_T1,1.0,0.0518294352311377,-0.7309312065159222,-0.3850892908626028
A078,T2,A078_T2,26.17,0.0710501022816261,-0.6583975027105224,-0.3576246340232141
A078,T3,A078_T3,72.3,-1.1228564198414923,-0.8654715334078682,0.066517378007161
A078,T4,A078_T4,140.08,-1.1397100676970602,-1.111991034380999,-0.0482123848559071
A079,T1,A079_T1,1.0,0.5198213526128695,0.2585659213951411,-0.1012134153603996
A079,T2,A079_T2,26.11,-0.4319555444741931,0.9427805998473446,0.6577881548475172
A079,T3,A079_T3,74.0,-1.0081725887834596,0.2502713391010031,0.5688378944773634
A079,T4,A079_T4,194.42,-0.972604631196475,-0.2250645968515989,0.317586602366967
A080,T1,A080_T1,1.0,0.3714776094480574,1.238084106339726,0.4496489498332905
A080,T2,A080_T2,29.03,0.3566516154511393,0.54588808699283,0.1131641974379003
A080,T3,A080_T3,72.87,0.3301729624199737,-0.1945489583569535,-0.2420857412453753
A080,T4,A080_T4,145.77,-0.8575952060263299,-1.479255356645988,-0.3546857321855227
A081,T1,A081_T1,1.0,0.5964632892232774,0.8736423800730206,0.169780175204847
A081,T2,A081_T2,31.39,-0.2633408347720455,0.3185220184457945,0.2740352766230816
A081,T3,A081_T3,80.13,0.983629286077412,0.2461682283610332,-0.3119925993424321
A081,T4,A081_T4,154.53,0.188907617879558,0.2375861033230975,0.0343912751233496
A082,T1,A082_T1,1.0,0.4967501877280722,0.9493887628009584,0.2513113380701556
A082,T2,A082_T2,27.97,1.235070695092198,0.4450508414844835,-0.3243716588416724
A082,T3,A082_T3,75.71,0.419097167839922,0.1559314816930765,-0.1076349234709654
A082,T4,A082_T4,170.25,-0.0968842771673264,-0.83719746073039,-0.3721372676926578
A083,T1,A083_T1,1.0,2.0205124649918744,1.4746912796104652,-0.1606634135959929
A083,T2,A083_T2,25.15,0.9499146174647272,0.3470002462400581,-0.2471489252063657
A083,T3,A083_T3,74.3,0.224946275908292,0.4523192123854445,0.1249043451982871
A083,T4,A083_T4,144.91,-0.0423241277318979,0.1883484506080171,0.1120120525315699
A084,T1,A084_T1,1.0,0.3919157798331799,-1.9275328981805468,-1.1281282051156194
A084,T2,A084_T2,27.25,-0.4373284829190103,-1.5900366865483009,-0.5950094225141509
A084,T3,A084_T3,91.97,0.0059855480162388,-1.2629589551054152,-0.6285154097969766
A084,T4,A084_T4,162.51,-0.0330257834086221,-1.492892529844717,-0.7252496893430231
A085,T1,A085_T1,1.0,0.3110086620492923,0.4220500820575315,0.0719327759497808
A085,T2,A085_T2,24.51,1.8081070103507453,1.4696941771762824,-0.0694249913066684
A085,T3,A085_T3,71.4,-0.164893457082529,1.0879351191927709,0.6118915360776299
A085,T4,A085_T4,170.65,-0.5424621395148743,-0.3129489797180916,0.0842525110086033
A086,T1,A086_T1,1.0,0.9526222519993433,1.2807513460616045,0.2143880671990686
A086,T2,A086_T2,23.47,-0.3859877067079402,1.0336395269289989,0.6825330552347977
A086,T3,A086_T3,145.29,-1.1961517477095636,-0.2079720069334203,0.4246876185666504
A086,T4,A086_T4,169.55,-1.220132004067333,-0.3556612094356812,0.3620787124958722
